Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Region,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,99,Kentucky,Midwest,L,Gray,Winter,4.9,Yes,Credit Card,Express,Yes,Yes,11,Venmo,Fortnightly
2,19,Male,Sweater,Clothing,45,Maine,Northeast,L,Maroon,Winter,3.3,Yes,Bank Transfer,Express,Yes,Yes,13,Cash,Fortnightly
3,50,Male,Jeans,Clothing,83,Massachusetts,Northeast,S,Maroon,Spring,4.5,Yes,Cash,Free Shipping,Yes,Yes,15,Credit Card,Weekly
4,21,Male,Sandals,Footwear,32,Rhode Island,Northeast,M,Maroon,Spring,2.9,Yes,PayPal,Next Day Air,Yes,Yes,18,PayPal,Weekly
5,45,Male,Blouse,Clothing,70,Oregon,West,M,Turquoise,Spring,4,Yes,Cash,Free Shipping,Yes,Yes,10,PayPal,Annually
6,46,Male,Sneakers,Footwear,63,Wyoming,West,M,White,Summer,3.9,Yes,Venmo,Standard,Yes,Yes,4,Venmo,Weekly
7,63,Male,Shirt,Clothing,71,Montana,West,M,Gray,Fall,4.1,Yes,Debit Card,Free Shipping,Yes,Yes,17,Cash,Quarterly
8,27,Male,Shorts,Clothing,57,Louisiana,South,L,Charcoal,Winter,3.7,Yes,Debit Card,Free Shipping,Yes,Yes,7,Credit Card,Weekly
9,26,Male,Coat,Outerwear,80,West Virginia,South,L,Silver,Summer,4.4,Yes,Venmo,Express,Yes,Yes,19,Venmo,Annually
10,57,Male,Handbag,Accessories,59,Missouri,Midwest,M,Pink,Spring,3.7,Yes,PayPal,2-Day Shipping,Yes,Yes,6,Cash,Quarterly
11,53,Male,Shoes,Footwear,28,Arkansas,South,L,Purple,Fall,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,7,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,55,Hawaii,West,S,Olive,Winter,3.6,Yes,PayPal,Store Pickup,Yes,Yes,14,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,88,Delaware,Northeast,M,Gold,Winter,4.6,Yes,PayPal,Express,Yes,Yes,14,Venmo,Fortnightly
14,65,Male,Dress,Clothing,41,New Hampshire,Northeast,M,Violet,Spring,3.2,Yes,Debit Card,Express,Yes,Yes,10,PayPal,Weekly
15,64,Male,Coat,Outerwear,75,New York,Northeast,L,Teal,Winter,4.2,Yes,PayPal,Free Shipping,Yes,Yes,11,Debit Card,Weekly
16,64,Male,Skirt,Clothing,96,Rhode Island,Northeast,M,Teal,Winter,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,16,PayPal,Monthly
17,25,Male,Sunglasses,Accessories,90,Alabama,South,S,Gray,Spring,4.7,Yes,Venmo,Next Day Air,Yes,Yes,7,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,98,Mississippi,South,XL,Lavender,Winter,4.9,Yes,Debit Card,2-Day Shipping,Yes,Yes,8,Venmo,Quarterly
19,52,Male,Sweater,Clothing,59,Montana,West,S,Black,Summer,3.7,Yes,Bank Transfer,Free Shipping,Yes,Yes,10,Cash,Weekly
20,66,Male,Pants,Clothing,53,Rhode Island,Northeast,M,Green,Summer,3.5,Yes,Venmo,Standard,Yes,Yes,18,Debit Card,Bi-Weekly
21,21,Male,Pants,Clothing,25,Louisiana,South,M,Black,Winter,2.7,Yes,Credit Card,Express,Yes,Yes,10,Cash,Every 3 Months
22,31,Male,Pants,Clothing,88,North Carolina,South,M,Charcoal,Winter,4.6,Yes,Credit Card,Store Pickup,Yes,Yes,12,Debit Card,Quarterly
23,56,Male,Pants,Clothing,77,California,West,M,Peach,Summer,4.2,Yes,Cash,Store Pickup,Yes,Yes,7,Debit Card,Annually
24,31,Male,Pants,Clothing,91,Oklahoma,South,XL,White,Winter,4.7,Yes,Credit Card,Express,Yes,Yes,18,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,54,Florida,South,M,Green,Fall,3.6,Yes,Cash,Store Pickup,Yes,Yes,4,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,34,Texas,South,M,Silver,Summer,3,Yes,Bank Transfer,Express,Yes,Yes,5,PayPal,Annually
27,38,Male,Jewelry,Accessories,46,Nevada,West,M,Red,Spring,3.4,Yes,Cash,Next Day Air,Yes,Yes,4,Credit Card,Annually
28,56,Male,Shorts,Clothing,99,Kentucky,Midwest,L,Cyan,Summer,5,Yes,Debit Card,Next Day Air,Yes,Yes,11,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,20,North Carolina,South,M,Gray,Fall,2.5,Yes,Debit Card,Free Shipping,Yes,Yes,19,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,62,Wyoming,West,S,Black,Fall,3.8,Yes,Venmo,Store Pickup,Yes,Yes,10,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,74,North Carolina,South,L,Black,Winter,4.2,Yes,Bank Transfer,Standard,Yes,Yes,6,Credit Card,Monthly
32,33,Male,Dress,Clothing,23,West Virginia,South,L,Brown,Winter,2.6,Yes,Venmo,Store Pickup,Yes,Yes,16,Venmo,Monthly
33,36,Male,Jacket,Outerwear,90,Kansas,Midwest,M,Silver,Summer,4.7,Yes,Bank Transfer,Free Shipping,Yes,Yes,13,Venmo,Annually
34,54,Male,Pants,Clothing,63,Colorado,West,L,Green,Summer,3.8,Yes,Venmo,Store Pickup,Yes,Yes,8,Cash,Quarterly
35,36,Male,T-shirt,Clothing,51,North Dakota,Midwest,L,Violet,Spring,3.5,Yes,Debit Card,2-Day Shipping,Yes,Yes,18,PayPal,Quarterly
36,54,Male,Blouse,Clothing,37,Massachusetts,Northeast,M,Cyan,Summer,3.1,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,7,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,88,Illinois,Midwest,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,14,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,40,Indiana,Midwest,S,Cyan,Summer,3.2,Yes,Debit Card,Store Pickup,Yes,Yes,9,PayPal,Weekly
39,29,Male,Dress,Clothing,26,Florida,South,M,Red,Winter,2.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,7,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,85,Arizona,West,S,Turquoise,Summer,4.5,Yes,Bank Transfer,Express,Yes,Yes,12,Credit Card,Monthly
41,69,Male,Handbag,Accessories,97,Louisiana,South,L,Beige,Winter,4.9,Yes,PayPal,Next Day Air,Yes,Yes,15,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,56,Alaska,West,M,Orange,Spring,3.7,Yes,Cash,Standard,Yes,Yes,8,Venmo,Annually
43,20,Male,Coat,Outerwear,73,Tennessee,South,M,Beige,Spring,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,20,PayPal,Annually
44,25,Male,Scarf,Accessories,87,Ohio,Midwest,L,Lavender,Fall,4.6,Yes,PayPal,Store Pickup,Yes,Yes,14,PayPal,Fortnightly
45,39,Male,Hat,Accessories,85,Kentucky,Midwest,S,Silver,Summer,4.5,Yes,Bank Transfer,Free Shipping,Yes,Yes,11,PayPal,Weekly
46,50,Male,Socks,Clothing,98,Tennessee,South,XL,Indigo,Fall,4.9,Yes,Venmo,2-Day Shipping,Yes,Yes,4,PayPal,Annually
47,57,Male,Shirt,Clothing,33,California,West,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Quarterly
